Type,Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
GT,140124,1030908859,11.5764,1.27823,4.50121,10.5881,4.679184052,1.555347873,1.294105653,1,3.95989,0.845941,-0.14746,3.86422,0.858697052,2.209368744,-0.172580708,-1,3.00675
GT,140124,1030909332,16.5924,-1.70288,-3.7494,16.0729,4.117985024,2.070938474,-1.997115929,-1,7.24338,0.756552,-1.65793,7.00959,1.822389315,2.056763098,-1.142696445,1,2.28201
GT,140124,1030914589,8.26944,2.39894,-0.413701,7.9023,2.434350353,1.893543356,-0.17077191,-1,6.22817,-1.61515,-0.427142,5.99898,1.670676453,1.990356865,-2.883051887,1,3.9514
GT,140124,1030970601,7.98419,1.46938,1.02012,7.78052,1.788776788,2.176197868,0.606857818,-1,5.93756,-0.832678,-1.07588,5.77863,1.360466988,2.15306324,-2.22945046,1,3.09131
GT,140124,1030987680,10.1016,2.73494,-0.724466,9.69675,2.829266299,1.945554644,-0.258945591,-1,7.31864,-1.44565,-0.116162,7.17272,1.450309461,2.301722935,-3.061412139,1,4.0642
GT,140124,1030996766,16.9032,-6.23037,0.982833,15.6819,6.307413974,1.642117826,2.985133228,-1,5.55455,-0.811418,-0.592689,5.46188,1.004828056,2.394479721,-2.510730462,1,2.74769
GT,140124,1031019318,7.53913,0.927254,1.04876,-7.40727,1.399891967,-2.36802599,0.846811294,-1,5.0542,-1.30602,1.83765,-4.52229,2.254472391,-1.4462796,2.188668235,1,2.79333
GT,140124,1031043344,8.40229,-1.34259,1.335,-8.18551,1.893349653,-2.17027999,2.359029121,1,2.84186,0.896495,0.698503,-2.60257,1.136490091,-1.566286685,0.661896851,-1,2.39041
GT,140124,1031047427,8.35011,-2.42381,1.73139,7.80004,2.978685322,1.69040597,2.52131663,1,3.32199,0.393106,0.625778,3.23703,0.739006382,2.183034562,1.009908065,-1,2.17742
GT,140124,1031072597,9.08441,1.37165,3.13544,-8.41445,3.422339509,-1.631776347,1.158413994,1,8.95388,1.94034,0.679964,-8.71398,2.056032674,-2.150933374,0.337062732,-1,2.54365
GT,140124,1031142371,11.0361,-0.975316,-2.11842,-10.7864,2.332154497,-2.236127991,-2.00226338,1,7.73656,2.12745,0.330183,-7.43022,2.152919951,-1.952235055,0.153972869,1,4.00551
GT,140124,1031228096,9.26495,0.929189,-2.26536,8.93492,2.448519579,2.005897488,-1.181551193,1,2.81244,-1.16736,-0.403204,2.52455,1.235031512,1.463193278,-2.809023334,-1,2.71401
GT,140124,1031249689,9.28797,-1.87124,0.833473,9.05864,2.048466836,2.192320288,2.722560544,1,5.32773,0.246845,1.3962,5.13451,1.417852917,1.998528343,1.395806877,-1,2.13609
GT,140124,1031261656,8.70399,2.07217,-1.32461,8.34864,2.459365805,1.936363294,-0.568772491,1,3.90057,-0.223338,0.95641,3.77341,0.982140494,2.05566877,1.800202442,1,2.89428
GT,140124,1031263913,40.5448,6.3507,-5.48616,-39.6666,8.392219137,-2.257358774,-0.712489673,-1,5.95277,1.63345,-0.0408523,-5.72316,1.633960775,-1.966442733,-0.025004613,1,2.73834
GT,140124,1031342565,12.5727,3.76235,6.90773,-9.80768,7.865876383,-1.045632621,1.072063754,1,3.83596,0.94011,0.279658,-3.70694,0.980823842,-2.039776058,0.289137479,1,3.58172
GT,140124,1031375519,8.26886,0.46393,-2.30817,7.92591,2.354332133,1.928389749,-1.372444481,-1,14.8652,4.5962,-4.01846,13.5532,6.10516791,1.537887168,-0.71843369,1,2.86365
GT,140124,1031409989,9.28666,-3.07781,0.292606,-8.75627,3.091687673,-1.764003211,3.046807984,-1,2.89865,-0.024851,-0.797868,-2.78456,0.79825492,-1.962503799,-1.601933017,1,2.32573
GT,140124,1031476569,9.30337,0.328021,-2.05822,-9.06629,2.084194651,-2.176285065,-1.412754225,-1,4.38283,-1.09225,1.0266,-4.11717,1.498972189,-1.735136248,2.38716837,1,3.44383
GT,140124,1031548664,11.7744,0.098652,-2.23888,-11.5587,2.241052403,-2.342908022,-1.526761708,-1,4.06061,-0.575389,0.892376,-3.91791,1.061794437,-2.016620814,2.143495413,1,3.03028
GG,140124,1031597753,9.49917,0.252498,-6.11371,7.26512,6.118921899,1.00783039,-1.529519494,-1,5.03356,-1.75281,-3.80482,2.78864,4.189152436,0.624324969,-2.002497361,1,3.08123
GT,140124,1031612051,6.88651,-1.4281,-1.53081,6.55973,2.093525463,1.859790029,-2.321496315,1,7.16161,-1.30483,0.650681,7.01082,1.458069646,2.274130473,2.679008737,-1,2.22409
GT,140124,1031630388,9.87497,-2.19431,0.981984,-9.57729,2.404015173,-2.090793621,2.720808178,1,4.85113,0.88758,-0.45931,-4.7459,0.999381775,-2.261952522,-0.477538153,-1,3.11825
GT,140124,1031634596,9.33112,1.75554,1.40743,-9.05516,2.250062198,-2.10061453,0.675781378,1,3.9895,0.887736,-0.721567,-3.8205,1.143999188,-1.920695713,-0.682507531,-1,2.04917
GT,140124,1031644448,8.40736,-2.20826,0.484565,-8.097,2.260799741,-1.987866051,2.925583287,-1,7.4511,-1.29028,-1.57221,-7.16736,2.033879732,-1.972288645,-2.258019947,1,2.2511
GT,140124,1031705318,10.5588,-1.96336,2.10159,-10.159,2.876015128,-1.974561217,2.32220225,1,3.3324,0.885055,1.21543,-2.97206,1.503526667,-1.433178236,0.94140518,-1,2.89395
GT,140124,1031738616,8.68458,1.65723,-0.531804,8.50773,1.740467399,2.290270874,-0.310518526,1,5.89738,-0.629404,-0.898486,5.79349,1.097007971,2.366140965,-2.181868651,1,2.23751
GT,140124,1031747504,6.84293,1.52777,-0.26514,-6.66409,1.55060646,-2.164502757,-0.171835559,1,2.96115,-0.58946,0.47837,-2.86024,0.75914488,-2.036778554,2.459855006,1,2.11689
GT,140124,846028791,4.72078,3.34296,3.3249,0.210392,4.714906316,0.044607936,0.782689655,1,2.84477,-0.328655,0.761837,2.71903,0.8297046,1.902613432,1.978073679,-1,4.78211
GT,140124,846040904,9.53802,1.9318,-0.965081,9.28975,2.159451916,2.165447448,-0.463308386,1,7.24004,0.19187,-2.09129,6.92797,2.100073323,1.908960222,-1.479305264,-1,2.15352
GT,140124,846052246,21.6047,-1.19844,4.24496,-21.1493,4.410889234,-2.271378747,1.845955698,1,5.97133,-1.194,-0.0584779,-5.84949,1.195431163,-2.291276162,-3.092655292,-1,2.87199
